"especie","aphia"
"Alosa alosa","126413"
"Alosa fallax","126415"
"Argentina sphyraena","126716"
"Argyropelecus olfersi","127310"
"Argyropelecus hemigymnus","127309"
"Arnoglossus imperialis","127124"
"Arnoglossus laterna","127126"
"Chelidonichthys cuculus","127259"
"Chelidonichthys obscurus","127263"
"Bathysolea profundicola","127152"
"Beryx decadactylus","126394"
"Blennius ocellaris","126761"
"Boops boops","127047"
"Callionymus lyra","126792"
"Callionymus maculatus","126793"
"Capros aper","127419"
"Chimaera monstrosa","105824"
"Centroscymnus coelolepis","105907"
"Cepola macrophthalma","126835"
"Chlorophthalmus agassizi","126336"
"Conger conger","126285"
"Cubiceps gracilis","126990"
"Dasyatis pastinaca","105851"
"Deania calcea","105903"
"Dicologlossa cuneata","127154"
"Echiodon dentatus","126662"
"Etmopterus spinax","105913"
"Eutrigla gurnardus","150637"
"Gadiculus argenteus argenteus","236455"
"Gaidropsarus macrophthalmus","126456"
"Gaidropsarus vulgaris","126458"
"Galeus melastomus","105812"
"Gobius niger","126829"
"Helicolenus dactylopterus","127251"
"Hexanchus griseus","105833"
"Hoplostethus mediterraneus","126404"
"Labrus bimaculatus","126966"
"Lampanyctus crocodilus","126612"
"Lepidopus caudatus","127088"
"Lepidorhombus boscii","127145"
"Lepidorhombus whiffiagonis","127146"
"Lophius budegassa","126554"
"Lophius piscatorius","126555"
"Malacocephalus laevis","272392"
"Buenia massutti","1043622"
"Macroramphosus scolopax","127378"
"Microchirus variegatus","274304"
"Merluccius merluccius","126484"
"Micromesistius poutassou","126439"
"Molva macrophthalma","126460"
"Molva molva","126461"
"Mora moro","126497"
"Mullus barbatus","126985"
"Mullus surmuletus","126986"
"Mustelus asterias","105821"
"Notacanthus bonapartei","399825"
"Nezumia aequalis","126473"
"Pagellus acarne","127057"
"Pagellus bogaraveo","127059"
"Pagellus erythrinus","127060"
"Phycis blennoides","126501"
"Phycis phycis","126502"
"Zeugopterus regius","236488"
"Pomatoschistus pictus","126930"
"Pomatoschistus minutus","126928"
"Raja clavata","105883"
"Raja montagui","105887"
"Leucoraja naevus","105876"
"Raja undulata","105891"
"Sardina pilchardus","126421"
"Scomber colias","151174"
"Scomber scombrus","127023"
"Scorpaena loppei","127244"
"Scorpaena porcus","127247"
"Scorpaena scrofa","127248"
"Scorpaena notata","127246"
"Scyliorhinus canicula","105814"
"Scymnodon ringens","105918"
"Sparus aurata","151523"
"Spondyliosoma cantharus","127066"
"Dalatias licha","105910"
"Solea solea","127160"
"Solea senegalensis","127159"
"Stomias boa boa","234601"
"Trachinus draco","127082"
"Echiichthys vipera","150630"
"Trachurus mediterraneus","126820"
"Trachurus trachurus","126822"
"Trachyrincus scabrus","126482"
"Chelidonichthys lucerna","127262"
"Trigla lyra","127266"
"Trisopterus luscus","126445"
"Trisopterus minutus","126446"
