"lan","lat","long","prof","peso.gr","numero","camp"
1,42.2266,-8.9734,101,325,1,"N01"
8,42.392,-9.0272,95,485,1,"N01"
29,43.45,-8.5132,106.5,2650,6,"N01"
30,43.3882,-8.6458,99.5,3725,9,"N01"
31,43.368,-8.7672,94.5,6295,10,"N01"
67,43.6193,-7.0555,104,640,4,"N01"
70,43.595,-6.1052,56.5,1570,4,"N01"
80,43.843,-5.782,168,780,1,"N01"
97,43.4809,-4.728,98,930,2,"N01"
102,43.4703,-4.1219,84,410,1,"N01"
104,43.5127,-3.7483,45.5,3255,6,"N01"
107,43.4589,-3.3767,39,2100,5,"N01"
108,43.483,-3.344,75,5660,18,"N01"
109,43.5773,-3.2866,183.5,560,1,"N01"
111,43.4597,-2.3315,137,1015,1,"N01"
112,43.5043,-2.2065,158.5,230,1,"N01"
114,43.3678,-2.0352,97,3870,9,"N01"
115,43.3912,-2.2961,100,1955,4,"N01"
122,43.5152,-2.9056,130.5,3080,7,"N01"
17,42.6145,-9.2171,101,530,1,"N02"
57,43.3914,-8.6465,101,4291,8,"N02"
58,43.3688,-8.7684,93.5,1585,3,"N02"
64,43.6202,-7.0585,105.5,445,3,"N02"
78,43.5925,-6.1075,56.5,2890.38262668045,9,"N02"
84,43.6326,-5.4033,116.5,520,1,"N02"
99,43.4781,-4.7266,96,2010,3,"N02"
103,43.4693,-4.1252,88.5,745,2,"N02"
104,43.5127,-3.7412,45,3700,9,"N02"
109,43.5243,-2.057,181.5,355,1,"N02"
110,43.3677,-2.037,98,920,2,"N02"
111,43.3776,-2.2475,99.5,1625,3,"N02"
112,43.3916,-2.3014,103.5,335,1,"N02"
119,43.5145,-2.9036,128.5,1090,2,"N02"
121,43.4543,-3.3698,40,1745,9,"N02"
59,43.3638,-8.7621,90.5,815,1,"N03"
60,43.4475,-8.498,99,1070,1,"N03"
72,43.6192,-7.0518,106,900,2,"N03"
106,43.5124,-3.7405,44,3490,7,"N03"
108,43.4756,-3.3335,75.5,3520,10,"N03"
113,43.4472,-2.228,137.5,620,1,"N03"
115,43.371,-2.0423,102,305,1,"N03"
117,43.3932,-2.2967,100.5,1440,3,"N03"
120,43.5136,-2.9003,131,865,2,"N03"
40,43.3649,-8.7629,91.5,3320,6,"N04"
45,43.4425,-8.5015,98.5,3145,5,"N04"
46,43.6148,-8.5068,158,460,1,"N04"
76,43.5948,-6.1052,57,5075,22,"N04"
93,43.4633,-3.3855,38.5,5500,16,"N04"
94,43.474,-3.331,74,560,1,"N04"
97,43.5151,-2.8884,130,1630,3,"N04"
101,43.3935,-2.304,103,825,1,"N04"
106,43.3693,-2.0343,99,1290,3,"N04"
113,43.4693,-4.1185,81.5,470,1,"N04"
118,43.5131,-3.7458,46.5,1580,4,"N04"
47,43.8396,-7.9138,128.5,940,1,"N05"
55,43.4409,-8.5027,98.5,4485,7,"N05"
60,43.366,-8.7658,90,970,2,"N05"
61,43.4059,-8.5602,97,450,1,"N05"
62,43.7867,-7.5301,118.5,615,1,"N05"
66,43.6706,-7.1558,115.5,555,1,"N05"
73,43.8,-7.1282,142.5,180,1,"N05"
83,43.5986,-6.1019,59,1540,2,"N05"
97,43.576,-4.852,141,1665,3,"N05"
107,43.4685,-4.1229,86.5,575,1,"N05"
108,43.5138,-3.7534,43.5,1270,3,"N05"
110,43.6379,-3.797,183.5,805,1,"N05"
112,43.517,-2.0578,178,565,1,"N05"
114,43.4408,-2.225,135,2250,3,"N05"
116,43.3693,-2.0338,99.5,2260,4,"N05"
119,43.3952,-2.3096,102,325,1,"N05"
122,43.4657,-3.3212,73,2365,4,"N05"
123,43.4589,-3.3784,36.5,1994.00299850075,6,"N05"
125,43.516,-2.8918,129.5,5180,9,"N05"
1,42.2294,-8.9741,101.5,3450,12,"N06"
4,42.0667,-8.9914,104.5,300,1,"N06"
16,42.503,-9.2856,139.5,295,1,"N06"
23,43.0445,-9.4142,142,330,1,"N06"
27,43.251,-9.1138,93,2350,3,"N06"
28,43.363,-8.7645,88,1100,1,"N06"
29,43.4396,-8.5038,98.5,860,2,"N06"
62,43.3927,-8.6483,100.5,1840,3,"N06"
84,43.5996,-6.1019,62.5,1180,2,"N06"
102,43.4765,-4.7279,91.5,375,1,"N06"
106,43.4659,-4.3088,114.5,1250,1,"N06"
109,43.5708,-3.8628,128.5,2030,3,"N06"
110,43.5135,-3.7511,40,2925,5,"N06"
113,43.3907,-2.2907,102.5,1880,3,"N06"
114,43.3782,-2.2319,101,634,1,"N06"
115,43.3709,-2.0278,99.5,6540,16,"N06"
118,43.4457,-2.2225,139,790,1,"N06"
124,43.5176,-2.8851,129.5,2042.39917269907,3,"N06"
126,43.4727,-3.3321,75.5,4033.09203722854,11,"N06"
28,43.2518,-9.1136,99.5,1900,4,"N07"
53,43.4481,-8.4991,100,3630,6,"N07"
60,43.3907,-8.6446,103.5,2950,4,"N07"
61,43.4047,-8.5616,98.5,355,1,"N07"
63,43.8963,-7.5381,148,120,1,"N07"
71,43.6192,-7.0523,106.5,1550,8,"N07"
72,43.5956,-6.1044,58,6195.54695062924,14,"N07"
81,43.6848,-6.9131,118.5,800,1,"N07"
82,43.7263,-6.434,133,900,1,"N07"
90,43.6666,-5.6695,95,380,1,"N07"
106,43.3913,-2.3059,99.5,415,1,"N07"
108,43.3704,-2.0294,100.5,8500,16,"N07"
114,43.5153,-2.9073,131.5,4730,8,"N07"
119,43.47,-4.1205,86.5,4370,8,"N07"
120,43.5134,-3.7513,43.5,486.039296794209,1,"N07"
125,43.4607,-3.3807,37.5,2690,4,"N07"
126,43.4705,-3.3286,72.5,1500,3,"N07"
1,42.2221,-8.9771,103,320,1,"N08"
3,42.0558,-9.1287,139,440,1,"N08"
4,42.0748,-8.9865,103.5,723.888314374354,3,"N08"
36,43.2508,-9.1167,97,370,1,"N08"
68,43.4487,-8.4953,100,568.769389865564,2,"N08"
72,43.3886,-8.644,102,2800,5,"N08"
78,43.896,-7.537,150.5,1190,1,"N08"
83,43.622,-7.0637,106,175,1,"N08"
84,43.671,-7.1557,115,125,1,"N08"
98,43.5956,-6.1048,57,2815,4,"N08"
127,43.3658,-2.0457,98.5,4755,11,"N08"
132,43.7649,-1.497,46.5,520,2,"N08"
133,43.7002,-1.6802,114.5,345,1,"N08"
136,43.5565,-1.9194,151,315,1,"N08"
137,43.4595,-3.3786,37.5,1960,5,"N08"
144,43.4659,-4.1339,86,610,1,"N08"
1,42.077,-8.9884,103,210,1,"N09"
4,42.2331,-8.9714,99.5,1035,2,"N09"
17,42.513,-9.2895,134.5,355,1,"N09"
24,42.6942,-9.355,128.5,350,1,"N09"
26,43.0339,-9.4243,147.5,265,1,"N09"
29,43.2445,-9.1261,94.5,1150,2,"N09"
55,43.3636,-8.7655,89,4250,7,"N09"
56,43.3897,-8.6448,100,2420,4,"N09"
57,43.4457,-8.4913,96.5,5300,11,"N09"
73,43.3625,-8.7638,89.5,1700,3,"N09"
94,43.5954,-6.1052,48,3700,9,"N09"
114,43.4649,-4.3339,126,375,1,"N09"
125,43.4648,-4.1381,84.5,3870,6,"N09"
127,43.5126,-3.7451,46,665,3,"N09"
129,43.7707,-1.4952,47,480,2,"N09"
130,43.7001,-1.6835,115.5,450,2,"N09"
136,43.3722,-2.0396,101,1670,4,"N09"
137,43.5606,-1.9066,151,210,1,"N09"
143,43.5153,-2.8929,131,1995,3,"N09"
148,43.4573,-3.3741,40,1340,5,"N09"
3,42.0859,-8.9856,104,370,1,"N10"
8,42.2326,-8.9702,99,712,2,"N10"
15,42.517,-9.2916,134,510,1,"N10"
24,43.0334,-9.4229,145,1135,2,"N10"
29,43.2441,-9.1266,92.5,330,2,"N10"
45,43.3694,-8.7734,94.5,3963.80558428128,6,"N10"
52,43.5569,-8.3964,94,430,1,"N10"
86,43.5942,-6.1056,57,5700,12,"N10"
110,43.4689,-4.1235,86.5,2679.52840300107,5,"N10"
117,43.5602,-1.9084,150,550,2,"N10"
118,43.3713,-2.0285,99.5,3625,6,"N10"
125,43.5155,-2.8873,131.5,2680,4,"N10"
129,43.6375,-3.8045,184,326,1,"N10"
9,42.2377,-8.9695,97.5,146,1,"N11"
21,42.848,-9.4243,152.5,615,1,"N11"
29,43.2494,-9.118,97,530,1,"N11"
34,43.3645,-8.767,91,370,1,"N11"
58,43.4451,-8.4925,97.5,850,2,"N11"
70,43.6823,-7.175,117,305,1,"N11"
85,43.5958,-6.1046,56.5,2130,5,"N11"
89,43.6895,-5.4946,140,128.2316442606,1,"N11"
99,43.4683,-4.7181,85.5,835,1,"N11"
108,43.3683,-2.036,96.5,3435,6,"N11"
121,43.5123,-3.7424,44.5,1365,2,"N11"
5,42.2386,-8.9692,98,2165,3,"N12"
28,43.2498,-9.1184,94.5,2130,2,"N12"
33,43.3616,-8.7624,86,1500,4,"N12"
34,43.3924,-8.6472,103,1345,3,"N12"
35,43.4457,-8.4915,94,2305,6,"N12"
61,43.8896,-7.5205,149,1070,1,"N12"
105,43.3797,-2.2374,99,985,2,"N12"
106,43.3688,-2.0362,97,1410,3,"N12"
114,43.5152,-2.8838,127,2900,4,"N12"
115,43.5116,-3.7336,46,1775,5,"N12"
116,43.465,-3.3887,37.5,9300,29,"N12"
123,43.4656,-4.318,115.5,470,1,"N12"
2,42.0658,-8.9911,103,455,1,"N13"
3,41.9719,-9.0469,111,1815,5,"N13"
6,42.2237,-8.9752,103,4140,14,"N13"
7,42.2562,-9.0947,134.5,695,3,"N13"
11,42.3713,-9.1676,143.5,355,1,"N13"
18,42.7037,-9.3697,130.5,475,1,"N13"
27,43.2495,-9.1141,98,320,1,"N13"
54,43.396,-8.6481,95.5,9800,15,"N13"
58,43.4397,-8.5054,100,12800,24,"N13"
59,43.4509,-8.545,116.5,6049.63805584281,11,"N13"
60,43.4449,-8.8341,150,1590,2,"N13"
74,43.5967,-6.1034,58,15080,38,"N13"
94,43.7863,-5.5707,161.5,515,1,"N13"
104,43.4832,-4.7294,102.5,810,1,"N13"
105,43.5109,-4.5526,279,2255,3,"N13"
106,43.4643,-4.3198,115.5,755.082284607938,1,"N13"
107,43.5446,-4.2758,161,885,1,"N13"
108,43.4694,-4.124,84,3435,7,"N13"
109,43.5146,-3.7546,45.5,2245,5,"N13"
112,43.6409,-3.7877,184,610.134436401241,1,"N13"
113,43.5685,-3.3094,172,485,1,"N13"
114,43.592,-3.0795,219,510,1,"N13"
115,43.5592,-1.9276,161.5,300,1,"N13"
117,43.5067,-2.2161,164,925,1,"N13"
124,43.3907,-2.2912,101,975,2,"N13"
125,43.443,-2.2168,137,990,2,"N13"
126,43.3777,-2.2291,102,985,2,"N13"
127,43.3729,-2.0194,102,2995,5,"N13"
131,43.5159,-2.8924,131.5,6230,11,"N13"
132,43.4567,-3.3731,38,5905,14,"N13"
133,43.4718,-3.3286,73.5,2855,6,"N13"
3,42.2319,-8.9728,99.5,5367.11478800414,19,"N14"
4,42.271,-9.1077,138.5,640,2,"N14"
7,42.0678,-8.9877,102.5,520,2,"N14"
9,42.0336,-9.1349,136.5,1450,5,"N14"
16,42.3774,-9.1705,145,440,1,"N14"
19,42.6226,-9.2119,100.5,2610,7,"N14"
21,42.8506,-9.4216,154.5,594.622543950362,1,"N14"
26,43.0486,-9.4171,147,630,2,"N14"
