"lance","camp","year","estrato","velocidad","recorrido","weight.time","dista_p","abert_h"
1,"N00",2000,"A",3,2938,1,NA,NA
2,"N00",2000,"B",3.2,3053,1,NA,NA
3,"N00",2000,"B",3.1,2945,1,NA,NA
4,"N00",2000,"C",3,2633,1,NA,NA
5,"N00",2000,"B",3,2728,1,NA,NA
6,"N00",2000,"B",3,2800,1,NA,NA
7,"N00",2000,"A",3.1,2874,1,NA,NA
8,"N00",2000,"B",3.1,2878,1,NA,NA
9,"N00",2000,"B",3.1,2912,1,NA,NA
10,"N00",2000,"B",3.2,2936,1,NA,NA
11,"N00",2000,"A",3,2741,1,NA,NA
12,"N00",2000,"C",3.2,2981,1,NA,NA
13,"N00",2000,"C",2.8,2621,1,NA,NA
14,"N00",2000,"B",3,2725,1,NA,NA
15,"N00",2000,"A",3,2715,1,NA,NA
16,"N00",2000,"B",3.1,2889,1,NA,NA
17,"N00",2000,"B",2.9,2650,1,NA,NA
18,"N00",2000,"C",2.9,2579,1,NA,NA
19,"N00",2000,"C",2.9,2677,1,NA,NA
20,"N00",2000,"B",3,2812,1,NA,NA
21,"N00",2000,"C",2.9,2751,1,NA,NA
22,"N00",2000,"C",3,2733,1,NA,NA
23,"N00",2000,"B",2.9,2679,1,NA,NA
24,"N00",2000,"B",2.8,2498,1,NA,NA
25,"N00",2000,"C",2.6,2328,1,NA,NA
26,"N00",2000,"C",3,2712,1,NA,NA
27,"N00",2000,"B",2.8,2499,1,NA,NA
28,"N00",2000,NA,2.8,3231,1.333,NA,NA
29,"N00",2000,"C",2.9,2576,1,NA,NA
30,"N00",2000,"C",2.8,2570,1,NA,NA
31,"N00",2000,"C",3,2808,1,NA,NA
32,"N00",2000,"C",3.1,2947,1,NA,NA
33,"N00",2000,"B",3.1,2948,1,NA,NA
34,"N00",2000,"C",3.1,2835,1,NA,NA
35,"N00",2000,"C",3.2,2945,1,NA,NA
36,"N00",2000,NA,2.8,3035,1.167,NA,NA
37,"N00",2000,"C",2.9,2528,1,NA,NA
38,"N00",2000,"C",3,2799,1,NA,NA
39,"N00",2000,"C",2.9,2649,1,NA,NA
40,"N00",2000,"B",3,2868,1,NA,NA
41,"N00",2000,"B",3.1,2873,1,NA,NA
42,"N00",2000,"B",3.1,2946,1,NA,NA
43,"N00",2000,"B",3.1,2868,1,NA,NA
44,"N00",2000,"B",3.1,2988,1,NA,NA
45,"N00",2000,"B",3.1,2934,1,NA,NA
46,"N00",2000,"B",3.2,2971,1,NA,NA
47,"N00",2000,"B",3,2810,1,NA,NA
48,"N00",2000,"B",2.9,2624,1,NA,NA
49,"N00",2000,"A",3.2,3020,1,NA,NA
50,"N00",2000,"B",3.4,3237,1,NA,NA
51,"N00",2000,"B",3.1,2842,1,NA,NA
52,"N00",2000,"C",2.9,2628,1,NA,NA
53,"N00",2000,"C",3.2,2895,1,NA,NA
54,"N00",2000,"A",3.2,2994,1,NA,NA
55,"N00",2000,"A",3.1,2886,1,NA,NA
56,"N00",2000,"B",3,2810,1,NA,NA
57,"N00",2000,"B",3,2834,1,NA,NA
58,"N00",2000,"A",3.3,3074,1,NA,NA
59,"N00",2000,"B",3.2,2905,1,NA,NA
60,"N00",2000,"B",3.1,2802,1,NA,NA
61,"N00",2000,"B",3.3,3138,1,NA,NA
62,"N00",2000,"B",3.2,2927,1,NA,NA
63,"N00",2000,NA,3.2,2859,1,NA,NA
64,"N00",2000,"A",3.2,2884,1,NA,NA
65,"N00",2000,"C",3.1,2872,1,NA,NA
66,"N00",2000,"B",3,2699,1,NA,NA
68,"N00",2000,"B",3.1,2843,1,NA,NA
69,"N00",2000,"B",3,2737,1,NA,NA
70,"N00",2000,"A",3,2682,1,NA,NA
71,"N00",2000,"B",3,2783,1,NA,NA
72,"N00",2000,"B",3,2784,1,NA,NA
73,"N00",2000,"B",3.1,2786,1,NA,NA
74,"N00",2000,"A",3,2830,1,NA,NA
75,"N00",2000,"B",3,2753,1,NA,NA
76,"N00",2000,"C",3.1,2775,1,NA,NA
77,"N00",2000,NA,3,2673,1,NA,NA
78,"N00",2000,"C",3,2688,1,NA,NA
79,"N00",2000,"B",3,2751,1,NA,NA
80,"N00",2000,"B",3.1,2859,1,NA,NA
81,"N00",2000,"C",3.2,2921,1,NA,NA
82,"N00",2000,"B",3,2708,1,NA,NA
83,"N00",2000,"C",3,2686,1,NA,NA
84,"N00",2000,"B",3.1,2809,1,NA,NA
85,"N00",2000,"B",3,2807,1,NA,NA
86,"N00",2000,"C",3.1,2808,1,NA,NA
87,"N00",2000,"B",3,2776,1,NA,NA
88,"N00",2000,"A",3,2734,1,NA,NA
89,"N00",2000,"A",3,2760,1,NA,NA
90,"N00",2000,"B",3,2789,1,NA,NA
91,"N00",2000,"B",3,2769,1,NA,NA
92,"N00",2000,"A",3,2743,1,NA,NA
93,"N00",2000,"B",3,2768,1,NA,NA
94,"N00",2000,"C",2.9,2630,1,NA,NA
95,"N00",2000,"C",2.9,2626,1,NA,NA
96,"N00",2000,NA,3,3208,1.167,NA,NA
97,"N00",2000,"B",3,2788,1,NA,NA
98,"N00",2000,"B",3,2850,1,NA,NA
99,"N00",2000,"C",3,2785,1,NA,NA
100,"N00",2000,"B",3,2845,1,NA,NA
101,"N00",2000,NA,3,3641,1.333,NA,NA
102,"N00",2000,"B",3,2719,1,NA,NA
103,"N00",2000,"A",3,2742,1,NA,NA
104,"N00",2000,"A",2.9,2666,1,NA,NA
105,"N00",2000,"A",3,2652,1,NA,NA
106,"N00",2000,NA,3,2891,1,NA,NA
107,"N00",2000,"C",3,2791,1,NA,NA
108,"N00",2000,"B",3.1,2973,1,NA,NA
109,"N00",2000,NA,3,2757,1,NA,NA
110,"N00",2000,"A",2.9,2597,1,NA,NA
111,"N00",2000,"B",2.9,2712,1,NA,NA
112,"N00",2000,"C",3.1,2885,1,NA,NA
113,"N00",2000,"B",3,2812,1,NA,NA
114,"N00",2000,"C",3,2482,0.833,NA,NA
115,"N00",2000,"C",3.1,2665,1,NA,NA
116,"N00",2000,"B",2.9,2723,1,NA,NA
117,"N00",2000,"A",3,2698,1,NA,NA
118,"N00",2000,"A",3,2775,1,NA,NA
119,"N00",2000,"A",3,2692,1,NA,NA
120,"N00",2000,"B",2.9,2658,1,NA,NA
121,"N00",2000,"B",3,2815,1,NA,NA
122,"N00",2000,"B",3,2758,1,NA,NA
1,"N01",2001,"A",2.8,2702,1,NA,NA
2,"N01",2001,"B",2.8,2621,1,NA,NA
3,"N01",2001,"A",3,2896,1,NA,NA
4,"N01",2001,"B",3,2762,1,NA,NA
5,"N01",2001,"B",3,2738,1,NA,NA
6,"N01",2001,"C",3,2730,1,NA,NA
7,"N01",2001,"B",3,2681,1,NA,NA
8,"N01",2001,"A",3.1,2887,1,NA,NA
9,"N01",2001,"B",3,2782,1,NA,NA
10,"N01",2001,"B",3,2408,1,NA,NA
11,"N01",2001,"B",3,2806,1,NA,NA
12,"N01",2001,"C",2.7,2776,1,NA,NA
13,"N01",2001,NA,2.9,2681,1,NA,NA
14,"N01",2001,"C",3.1,2816,1,NA,NA
15,"N01",2001,"B",3,2687,1,NA,NA
16,"N01",2001,"C",3,2650,1,NA,NA
17,"N01",2001,NA,3,2658,1,NA,NA
18,"N01",2001,"B",2.9,2631,1,NA,NA
19,"N01",2001,"B",3,2762,1,NA,NA
20,"N01",2001,"A",2.8,2684,1,NA,NA
21,"N01",2001,"B",3.1,2835,1,NA,NA
22,"N01",2001,"C",2.9,2694,1,NA,NA
23,"N01",2001,"B",3.1,2859,1,NA,NA
24,"N01",2001,"B",3,2786,1,NA,NA
25,"N01",2001,"B",3,2795,1,NA,NA
26,"N01",2001,"B",3.1,2834,1,NA,NA
27,"N01",2001,"B",2.9,2683,1,NA,NA
28,"N01",2001,"B",2.8,2590,1,NA,NA
29,"N01",2001,"A",3,2734,1,NA,NA
30,"N01",2001,"A",3,2777,1,NA,NA
31,"N01",2001,"A",2.8,2631,1,NA,NA
32,"N01",2001,"B",3,2796,1,NA,NA
33,"N01",2001,"B",3,2742,1,NA,NA
34,"N01",2001,"C",3,2779,1,NA,NA
35,"N01",2001,"C",3,2755,1,NA,NA
36,"N01",2001,"B",3,2932,1,NA,NA
37,"N01",2001,"C",3,2766,1,NA,NA
38,"N01",2001,"B",3,2813,1,NA,NA
39,"N01",2001,"C",3,2743,1,NA,NA
40,"N01",2001,"B",3,2702,1,NA,NA
41,"N01",2001,"B",2.9,2721,1,NA,NA
42,"N01",2001,"C",3,2703,1,NA,NA
43,"N01",2001,"B",3.1,2834,1,NA,NA
44,"N01",2001,"B",3,2739,1,NA,NA
45,"N01",2001,"B",2.9,2655,1,NA,NA
46,"N01",2001,"B",3,2703,1,NA,NA
47,"N01",2001,"C",3.1,2838,1,NA,NA
48,"N01",2001,"A",3,2765,1,NA,NA
49,"N01",2001,"B",3,2751,1,NA,NA
50,"N01",2001,"B",3,2762,1,NA,NA
51,"N01",2001,"B",3,2749,1,NA,NA
52,"N01",2001,"B",3.2,2929,1,NA,NA
53,"N01",2001,"C",2.9,2707,1,NA,NA
54,"N01",2001,"C",2.7,2501,1,NA,NA
55,"N01",2001,"C",2.8,2551,1,NA,NA
56,"N01",2001,"C",2.8,2583,1,NA,NA
57,"N01",2001,"C",2.9,2676,1,NA,NA
58,"N01",2001,"B",3.1,2790,1,NA,NA
59,"N01",2001,"C",3,2714,1,NA,NA
60,"N01",2001,"C",2.9,2730,1,NA,NA
61,"N01",2001,"C",3,2801,1,NA,NA
62,"N01",2001,"B",3,2762,1,NA,NA
63,"N01",2001,"A",3,2775,1,NA,NA
64,"N01",2001,"B",2.9,2707,1,NA,NA
65,"N01",2001,"B",2.9,2676,1,NA,NA
66,"N01",2001,"B",3,2725,1,NA,NA
67,"N01",2001,"A",3,2784,1,NA,NA
68,"N01",2001,"B",3,2758,1,NA,NA
69,"N01",2001,"C",2.8,2585,1,NA,NA
70,"N01",2001,NA,3,2796,1,NA,NA
71,"N01",2001,"A",3,2720,1,NA,NA
72,"N01",2001,"C",3,2734,1,NA,NA
73,"N01",2001,"C",2.9,2712,1,NA,NA
74,"N01",2001,"B",2.9,2658,1,NA,NA
75,"N01",2001,NA,3,2668,1,NA,NA
76,"N01",2001,"C",3,2710,1,NA,NA
77,"N01",2001,"B",3.1,2656,1,NA,NA
78,"N01",2001,"B",3,2731,1,NA,NA
79,"N01",2001,"B",3,2783,1,NA,NA
80,"N01",2001,"B",3,2771,1,NA,NA
81,"N01",2001,"C",3,2719,1,NA,NA
82,"N01",2001,"B",2.9,2700,1,NA,NA
83,"N01",2001,"B",3,2823,1,NA,NA
84,"N01",2001,"A",3,2774,1,NA,NA
85,"N01",2001,"B",3,2666,1,NA,NA
86,"N01",2001,"B",3,2817,1,NA,NA
87,"N01",2001,"C",3,2735,1,NA,NA
88,"N01",2001,NA,3,3201,1.167,NA,NA
89,"N01",2001,"A",3,2780,1,NA,NA
90,"N01",2001,"B",3,2767,1,NA,NA
91,"N01",2001,"C",3,2793,1,NA,NA
92,"N01",2001,"C",2.9,2722,1,NA,NA
93,"N01",2001,"B",3,2766,1,NA,NA
94,"N01",2001,"B",3,2751,1,NA,NA
95,"N01",2001,NA,3,3251,1.167,NA,NA
96,"N01",2001,"C",3,2755,1,NA,NA
97,"N01",2001,"A",3,2807,1,NA,NA
98,"N01",2001,"A",3,2749,1,NA,NA
99,"N01",2001,"B",3,2717,1,NA,NA
100,"N01",2001,"B",3,2788,1,NA,NA
101,"N01",2001,"B",3.1,2897,1,NA,NA
102,"N01",2001,"A",3.1,2819,1,NA,NA
103,"N01",2001,"A",3,2821,1,NA,NA
104,"N01",2001,NA,3,2734,1,NA,NA
105,"N01",2001,"B",3,2755,1,NA,NA
106,"N01",2001,"C",2.9,2691,1,NA,NA
107,"N01",2001,NA,3,2789,1,NA,NA
108,"N01",2001,"A",3,2842,1,NA,NA
109,"N01",2001,"B",3,3070,1,NA,NA
110,"N01",2001,"C",3,2751,1,NA,NA
111,"N01",2001,"B",3,2768,1,NA,NA
112,"N01",2001,"B",2.9,2669,1,NA,NA
113,"N01",2001,"B",3,2751,1,NA,NA
114,"N01",2001,"A",3,2755,1,NA,NA
115,"N01",2001,"A",3,2760,1,NA,NA
116,"N01",2001,"C",3,2820,1,NA,NA
117,"N01",2001,"B",3,2749,1,NA,NA
118,"N01",2001,"A",3,2784,1,NA,NA
119,"N01",2001,NA,3,3216,1.167,NA,NA
120,"N01",2001,"C",3,2653,1,NA,NA
121,"N01",2001,"C",3,2726,1,NA,NA
122,"N01",2001,"B",3,2738,1,NA,NA
1,"N02",2002,"A",3.2,2756,1,NA,NA
2,"N02",2002,"B",3.1,3316,1.167,NA,NA
3,"N02",2002,"B",3,2761,1,NA,NA
4,"N02",2002,"A",3,2706,1.033,NA,NA
5,"N02",2002,"A",3.1,2897,1,NA,NA
6,"N02",2002,"B",3.1,2780,1,NA,NA
8,"N02",2002,"B",2.9,2636,1,NA,NA
9,"N02",2002,"C",3,2760,1,NA,NA
10,"N02",2002,"B",3.1,2889,0.967,NA,NA
11,"N02",2002,"B",3,2998,0.933,NA,NA
12,"N02",2002,NA,2.9,2706,1,NA,NA
13,"N02",2002,"C",3,2656,1,NA,NA
14,"N02",2002,"B",3.1,2853,1,NA,NA
15,"N02",2002,"B",3,2745,1,NA,NA
16,"N02",2002,"C",3,2834,1,NA,NA
17,"N02",2002,"A",3.1,2881,1,NA,NA
18,"N02",2002,"B",3.1,2881,1,NA,NA
19,"N02",2002,NA,2.8,0,0.633,NA,NA
20,"N02",2002,"C",3,2822,1,NA,NA
21,"N02",2002,"B",3.2,2963,1,NA,NA
22,"N02",2002,"C",3,2800,1,NA,NA
23,"N02",2002,"B",3,2781,1,NA,NA
24,"N02",2002,"C",3,2851,0.967,NA,NA
25,"N02",2002,"C",3,2777,1,NA,NA
26,"N02",2002,"B",3.1,2841,1,NA,NA
27,"N02",2002,"B",3,2729,1,NA,NA
28,"N02",2002,"C",3,2670,1,NA,NA
29,"N02",2002,NA,2.8,2616,1,NA,NA
30,"N02",2002,"C",3,2655,1.033,NA,NA
31,"N02",2002,"C",3,2731,1,NA,NA
32,"N02",2002,"C",2.8,2659,1,NA,NA
33,"N02",2002,"C",3,2760,1,NA,NA
34,"N02",2002,NA,2.8,2579,1,NA,NA
35,"N02",2002,"C",2.9,2701,1,NA,NA
