"","gr","esp","lan","lat","long","prof","peso.gr","numero","camp","especie"
"1","1"," 51",1,42.2302,-8.9725,104,301950,10325,"N00","Micromesistius poutassou"
"2","1"," 51",2,42.1506,-9.0719,136,462800,14964,"N00","Micromesistius poutassou"
"3","1"," 51",3,41.983,-9.3137,172,601700,18636,"N00","Micromesistius poutassou"
"4","1"," 51",4,42.0542,-9.3621,236.5,53250,1751,"N00","Micromesistius poutassou"
"5","1"," 51",5,42.1129,-9.2843,188.5,10150,324,"N00","Micromesistius poutassou"
"7","1"," 51",7,41.9689,-9.0503,118,149250,4711,"N00","Micromesistius poutassou"
"8","1"," 51",8,42.1985,-9.1655,152,109550,3725,"N00","Micromesistius poutassou"
"9","1"," 51",9,42.2759,-9.1524,148,147200,4939,"N00","Micromesistius poutassou"
"10","1"," 51",10,42.3704,-9.1753,148,271400,9359,"N00","Micromesistius poutassou"
"11","1"," 51",11,42.3991,-9.0521,105,186450,6401,"N00","Micromesistius poutassou"
"12","1"," 51",12,42.3572,-9.3316,275,33950,1192,"N00","Micromesistius poutassou"
"13","1"," 51",13,42.4726,-9.3645,270,11700,408,"N00","Micromesistius poutassou"
"14","1"," 51",14,42.6073,-9.3679,137.5,38050,1489,"N00","Micromesistius poutassou"
"15","1"," 51",15,42.6168,-9.2147,101,69200,2754,"N00","Micromesistius poutassou"
"16","1"," 51",16,42.687,-9.3087,123.5,285950,12201,"N00","Micromesistius poutassou"
"17","1"," 51",17,42.7934,-9.3951,144.5,28400,1221,"N00","Micromesistius poutassou"
"18","1"," 51",18,42.7852,-9.539,234.5,223025,8123,"N00","Micromesistius poutassou"
"19","1"," 51",19,42.9348,-9.5599,238.5,30450,1117,"N00","Micromesistius poutassou"
"20","1"," 51",20,43.0368,-9.4167,143,15900,598,"N00","Micromesistius poutassou"
"21","1"," 51",21,43.0889,-9.5684,247,50150,1872,"N00","Micromesistius poutassou"
"22","1"," 51",22,43.2356,-9.512,264.5,524000,21413,"N00","Micromesistius poutassou"
"23","1"," 51",23,43.203,-9.4214,169.5,50250,1970,"N00","Micromesistius poutassou"
"24","1"," 51",24,43.3136,-9.2785,168.5,119250,5565,"N00","Micromesistius poutassou"
"25","1"," 51",25,43.3694,-9.3619,275.5,2500,89,"N00","Micromesistius poutassou"
"26","1"," 51",26,43.4286,-9.2097,260,7600,301,"N00","Micromesistius poutassou"
"27","1"," 51",27,43.3655,-9.0693,153,40200,1382,"N00","Micromesistius poutassou"
"28","1"," 51",28,44.1011,-8.9285,692,1091.52288072018,5,"N00","Micromesistius poutassou"
"29","1"," 51",29,44.047,-8.7198,466,9700,136,"N00","Micromesistius poutassou"
"30","1"," 51",30,43.9672,-8.5515,353.5,3040,100,"N00","Micromesistius poutassou"
"31","1"," 51",31,44.0611,-8.449,330,5600,95,"N00","Micromesistius poutassou"
"32","1"," 51",32,44.0495,-8.2584,293.5,10750,209,"N00","Micromesistius poutassou"
"33","1"," 51",33,43.4492,-8.9782,161.5,87900,3692,"N00","Micromesistius poutassou"
"34","1"," 51",34,43.5435,-9.0797,297,6400,218,"N00","Micromesistius poutassou"
"35","1"," 51",35,43.6079,-8.9208,267,5350,218,"N00","Micromesistius poutassou"
"36","1"," 51",36,43.6843,-8.8671,644.5,441.302485004284,4,"N00","Micromesistius poutassou"
"37","1"," 51",37,43.7097,-8.7279,294.5,13700,305,"N00","Micromesistius poutassou"
"38","1"," 51",38,43.8036,-8.6036,284,3200,105,"N00","Micromesistius poutassou"
"39","1"," 51",39,43.841,-8.4835,236.5,7300,332,"N00","Micromesistius poutassou"
"40","1"," 51",40,43.8212,-8.3864,191.5,324456,15902,"N00","Micromesistius poutassou"
"41","1"," 51",41,43.807,-8.2927,177.5,18200,840,"N00","Micromesistius poutassou"
"42","1"," 51",42,43.7136,-8.3951,163.5,384500,18844,"N00","Micromesistius poutassou"
"43","1"," 51",43,43.6917,-8.515,173.5,236850,11211,"N00","Micromesistius poutassou"
"44","1"," 51",44,43.6242,-8.5956,165.5,73250,3451,"N00","Micromesistius poutassou"
"45","1"," 51",45,43.5482,-8.749,160,19200,809,"N00","Micromesistius poutassou"
"46","1"," 51",46,43.455,-8.8146,151.5,14750,450,"N00","Micromesistius poutassou"
"47","1"," 51",47,43.4866,-8.6249,141.5,31350,1350,"N00","Micromesistius poutassou"
"48","1"," 51",48,43.4678,-8.6997,138.5,28450,1252,"N00","Micromesistius poutassou"
"49","1"," 51",49,43.4447,-8.4951,99.5,25700,1234,"N00","Micromesistius poutassou"
"50","1"," 51",50,43.838,-7.9095,126.5,121500,4801,"N00","Micromesistius poutassou"
"51","1"," 51",51,43.9198,-8.0607,184,41200,1854,"N00","Micromesistius poutassou"
"52","1"," 51",52,44.0427,-8.018,232.5,15100,693,"N00","Micromesistius poutassou"
"53","1"," 51",53,43.9529,-8.3525,243.5,11750,412,"N00","Micromesistius poutassou"
"54","1"," 51",54,43.3679,-8.7695,92,52600,1876,"N00","Micromesistius poutassou"
"55","1"," 51",55,43.392,-8.6475,103,73735,2876,"N00","Micromesistius poutassou"
"56","1"," 51",56,43.5324,-8.5255,140.5,12150,546,"N00","Micromesistius poutassou"
"57","1"," 51",57,43.6135,-8.4863,154.5,19550,841,"N00","Micromesistius poutassou"
"58","1"," 51",58,43.7885,-7.5382,115,20600,372,"N00","Micromesistius poutassou"
"59","1"," 51",59,43.9945,-7.5617,181.5,172850,8412,"N00","Micromesistius poutassou"
"60","1"," 51",60,44.0143,-7.2895,182,128600,5833,"N00","Micromesistius poutassou"
"61","1"," 51",61,43.9557,-7.2103,175,107550,4947,"N00","Micromesistius poutassou"
"62","1"," 51",62,43.8576,-7.3249,155,46600,2120,"N00","Micromesistius poutassou"
"65","1"," 51",65,43.7895,-6.0969,221.5,1210,35,"N00","Micromesistius poutassou"
"68","1"," 51",69,43.7752,-7.3027,137.5,11600,255,"N00","Micromesistius poutassou"
"69","1"," 51",70,43.6908,-7.1738,118.5,13050,317,"N00","Micromesistius poutassou"
"70","1"," 51",71,43.7066,-7.0306,122.5,6600,221,"N00","Micromesistius poutassou"
"71","1"," 51",72,43.7984,-7.1193,142.5,5525,240,"N00","Micromesistius poutassou"
"72","1"," 51",73,43.9931,-7.0689,188.5,50900,2172,"N00","Micromesistius poutassou"
"73","1"," 51",74,43.6198,-7.053,106,30300,463,"N00","Micromesistius poutassou"
"74","1"," 51",75,43.7792,-6.907,138,21950,958,"N00","Micromesistius poutassou"
"75","1"," 51",76,43.9697,-6.7527,285.5,37350,1229,"N00","Micromesistius poutassou"
"76","1"," 51",77,43.8798,-6.4701,531.5,1910,22,"N00","Micromesistius poutassou"
"77","1"," 51",78,43.8983,-6.5349,232,120350,6565,"N00","Micromesistius poutassou"
"78","1"," 51",79,43.9235,-6.6224,177,45260,2553,"N00","Micromesistius poutassou"
"80","1"," 51",81,43.7598,-6.2875,234.5,31500,640,"N00","Micromesistius poutassou"
"81","1"," 51",82,43.8469,-5.7763,173.5,18350,519,"N00","Micromesistius poutassou"
"82","1"," 51",83,43.8916,-5.6007,287.5,2550,51,"N00","Micromesistius poutassou"
"83","1"," 51",84,43.7601,-5.3821,155,16155,732,"N00","Micromesistius poutassou"
"84","1"," 51",85,43.6873,-5.4947,137,5715,117,"N00","Micromesistius poutassou"
"85","1"," 51",86,43.8683,-5.3606,273,4885,88,"N00","Micromesistius poutassou"
"86","1"," 51",87,43.7844,-5.5827,160.5,1770,66,"N00","Micromesistius poutassou"
"87","1"," 51",88,43.6677,-5.6729,93,10700,307,"N00","Micromesistius poutassou"
"88","1"," 51",89,43.6308,-5.4002,116.5,36450,1121,"N00","Micromesistius poutassou"
"89","1"," 51",90,43.7049,-5.1851,154.5,85500,2844,"N00","Micromesistius poutassou"
"90","1"," 51",91,43.7278,-4.9896,180,170950,10257,"N00","Micromesistius poutassou"
"92","1"," 51",93,43.5773,-4.8556,141.5,127050,8639,"N00","Micromesistius poutassou"
"93","1"," 51",94,43.6375,-4.9948,388,7600,166,"N00","Micromesistius poutassou"
"94","1"," 51",95,43.7795,-5.0219,429.5,2145,36,"N00","Micromesistius poutassou"
"95","1"," 51",96,43.8238,-5.0499,563,179.948586118252,3,"N00","Micromesistius poutassou"
