"gr","esp","lan","lat","long","prof","peso.gr","numero","camp","especie"
"1"," 51",1,42.0786,-8.9918,104,23125,671,"N15","Micromesistius poutassou"
"1"," 51",2,41.9612,-9.0783,122.5,690,15,"N15","Micromesistius poutassou"
"1"," 51",3,41.9723,-9.0373,112,1725,40,"N15","Micromesistius poutassou"
"1"," 51",4,42.073,-9.1797,150,1875,44,"N15","Micromesistius poutassou"
"1"," 51",5,42.0277,-9.2955,172.5,8810,214,"N15","Micromesistius poutassou"
"1"," 51",6,42.054,-9.3577,148,235522.233712513,5995,"N15","Micromesistius poutassou"
"1"," 51",7,42.1164,-9.281,188,8735,198,"N15","Micromesistius poutassou"
"1"," 51",8,42.1918,-9.4421,661.5,1114.02850712678,6,"N15","Micromesistius poutassou"
"1"," 51",9,42.2775,-9.4615,573,14253.5633908477,76,"N15","Micromesistius poutassou"
"1"," 51",10,42.2908,-9.3484,240.5,2360,57,"N15","Micromesistius poutassou"
"1"," 51",11,42.3764,-9.1699,144.5,63750,1700,"N15","Micromesistius poutassou"
"1"," 51",12,42.1549,-9.0612,134.5,264198.687910028,7309,"N15","Micromesistius poutassou"
"1"," 51",13,42.187,-9.1698,154.5,3315,85,"N15","Micromesistius poutassou"
"1"," 51",14,42.2669,-9.1063,137.5,1594310,43844,"N15","Micromesistius poutassou"
"1"," 51",15,42.2345,-8.9747,101.5,65750,1841,"N15","Micromesistius poutassou"
"1"," 51",16,42.5315,-9.3978,244.5,83850,2348,"N15","Micromesistius poutassou"
"1"," 51",17,42.5117,-9.2872,135,110392.967942089,3679,"N15","Micromesistius poutassou"
"1"," 51",18,42.6196,-9.2132,101,361.944157187177,9,"N15","Micromesistius poutassou"
"1"," 51",19,42.6944,-9.353,128.5,138250,4608,"N15","Micromesistius poutassou"
"1"," 51",20,42.8492,-9.4202,152,18050,590,"N15","Micromesistius poutassou"
"1"," 51",21,42.7254,-9.5842,612.5,2115.52888222056,8,"N15","Micromesistius poutassou"
"1"," 51",22,42.7853,-9.5418,241,211995.863495346,6218,"N15","Micromesistius poutassou"
"1"," 51",23,42.9333,-9.5515,227.5,465400,13363,"N15","Micromesistius poutassou"
"1"," 51",24,43.081,-9.5653,236,801550,23779,"N15","Micromesistius poutassou"
"1"," 51",25,43.3153,-9.28,169.5,66650,2432,"N15","Micromesistius poutassou"
"1"," 51",26,43.3619,-9.3698,269.5,116550,1720,"N15","Micromesistius poutassou"
"1"," 51",27,43.2348,-9.5155,269.5,175000,3967,"N15","Micromesistius poutassou"
"1"," 51",28,43.1972,-9.4329,170,98914.1675284385,3132,"N15","Micromesistius poutassou"
"1"," 51",29,43.0421,-9.4199,145,86597.9381443299,2877,"N15","Micromesistius poutassou"
"1"," 51",30,43.2469,-9.121,94.5,2380,51,"N15","Micromesistius poutassou"
"1"," 51",31,43.3627,-9.062,152,47400,1880,"N15","Micromesistius poutassou"
"1"," 51",32,43.4884,-8.9705,176.5,497250,17386,"N15","Micromesistius poutassou"
"1"," 51",33,43.5412,-9.0814,294.5,40330.9203722854,654,"N15","Micromesistius poutassou"
"1"," 51",34,43.6181,-8.9059,254.5,249379.524301965,4120,"N15","Micromesistius poutassou"
"1"," 51",35,43.6822,-8.8565,569.5,1365.34133533383,24,"N15","Micromesistius poutassou"
"1"," 51",36,43.7045,-8.7298,291,75700,1804,"N15","Micromesistius poutassou"
"1"," 51",37,43.7774,-8.8513,589,19204.8012003001,181,"N15","Micromesistius poutassou"
"1"," 51",38,44.0592,-8.4504,329.5,11450,221,"N15","Micromesistius poutassou"
"1"," 51",39,44.0219,-8.59,365.5,14500,215,"N15","Micromesistius poutassou"
"1"," 51",40,44.0436,-8.7104,459,74125,603,"N15","Micromesistius poutassou"
"1"," 51",41,44.1068,-8.9365,685.5,2363.09077269317,13,"N15","Micromesistius poutassou"
"1"," 51",42,43.9764,-8.6321,419.5,65250,887,"N15","Micromesistius poutassou"
"1"," 51",43,43.8929,-8.6852,434,24550,344,"N15","Micromesistius poutassou"
"1"," 51",44,43.8784,-8.5125,281.5,60300,2078,"N15","Micromesistius poutassou"
"1"," 51",45,43.9507,-8.361,246.5,15950,569,"N15","Micromesistius poutassou"
"1"," 51",46,43.8389,-7.915,128.5,395,4,"N15","Micromesistius poutassou"
"1"," 51",47,44.0217,-7.8222,197.5,25025.8531540848,767,"N15","Micromesistius poutassou"
"1"," 51",48,44.0391,-8.0246,229,398350,14872,"N15","Micromesistius poutassou"
"1"," 51",49,44.0491,-8.2568,295.5,21950,448,"N15","Micromesistius poutassou"
"1"," 51",50,43.9068,-8.1545,186,32250,1312,"N15","Micromesistius poutassou"
"1"," 51",51,43.8177,-8.2819,178,75664.0959725793,1513,"N15","Micromesistius poutassou"
