"lance","camp","sector","validez","lat","long","prof","talla","sexo","numero"
11,"N83","1B",1,42.6333,-9.4534,160.5,30,"2",1
12,"N83","1B",1,42.6183,-9.3683,130.5,24,"1",1
12,"N83","1B",1,42.6183,-9.3683,130.5,25,"1",2
12,"N83","1B",1,42.6183,-9.3683,130.5,26,"1",7
12,"N83","1B",1,42.6183,-9.3683,130.5,26,"2",4
12,"N83","1B",1,42.6183,-9.3683,130.5,27,"1",1
12,"N83","1B",1,42.6183,-9.3683,130.5,27,"2",4
12,"N83","1B",1,42.6183,-9.3683,130.5,28,"1",2
12,"N83","1B",1,42.6183,-9.3683,130.5,28,"2",3
12,"N83","1B",1,42.6183,-9.3683,130.5,29,"1",5
12,"N83","1B",1,42.6183,-9.3683,130.5,30,"1",3
12,"N83","1B",1,42.6183,-9.3683,130.5,30,"2",1
12,"N83","1B",1,42.6183,-9.3683,130.5,31,"1",3
12,"N83","1B",1,42.6183,-9.3683,130.5,31,"2",2
12,"N83","1B",1,42.6183,-9.3683,130.5,32,"1",4
12,"N83","1B",1,42.6183,-9.3683,130.5,33,"1",1
12,"N83","1B",1,42.6183,-9.3683,130.5,33,"2",1
12,"N83","1B",1,42.6183,-9.3683,130.5,34,"1",2
12,"N83","1B",1,42.6183,-9.3683,130.5,34,"2",1
12,"N83","1B",1,42.6183,-9.3683,130.5,35,"1",3
12,"N83","1B",1,42.6183,-9.3683,130.5,36,"1",5
12,"N83","1B",1,42.6183,-9.3683,130.5,44,"1",1
13,"N83","1B",1,42.6283,-9.2817,113,22,"2",1
13,"N83","1B",1,42.6283,-9.2817,113,25,"2",1
13,"N83","1B",1,42.6283,-9.2817,113,27,"1",1
13,"N83","1B",1,42.6283,-9.2817,113,27,"2",1
13,"N83","1B",1,42.6283,-9.2817,113,30,"1",1
13,"N83","1B",1,42.6283,-9.2817,113,30,"2",2
13,"N83","1B",1,42.6283,-9.2817,113,31,"1",1
13,"N83","1B",1,42.6283,-9.2817,113,32,"2",1
13,"N83","1B",1,42.6283,-9.2817,113,33,"1",1
13,"N83","1B",1,42.6283,-9.2817,113,35,"1",1
13,"N83","1B",1,42.6283,-9.2817,113,38,"1",1
14,"N83","1B",1,42.7125,-9.3184,125.5,23,"2",1
14,"N83","1B",1,42.7125,-9.3184,125.5,24,"1",2
14,"N83","1B",1,42.7125,-9.3184,125.5,24,"2",1
14,"N83","1B",1,42.7125,-9.3184,125.5,25,"1",2
14,"N83","1B",1,42.7125,-9.3184,125.5,25,"2",2
14,"N83","1B",1,42.7125,-9.3184,125.5,26,"2",3
14,"N83","1B",1,42.7125,-9.3184,125.5,27,"1",1
14,"N83","1B",1,42.7125,-9.3184,125.5,28,"1",2
14,"N83","1B",1,42.7125,-9.3184,125.5,28,"2",5
14,"N83","1B",1,42.7125,-9.3184,125.5,29,"1",5
14,"N83","1B",1,42.7125,-9.3184,125.5,29,"2",1
14,"N83","1B",1,42.7125,-9.3184,125.5,30,"1",2
14,"N83","1B",1,42.7125,-9.3184,125.5,30,"2",2
14,"N83","1B",1,42.7125,-9.3184,125.5,31,"1",1
14,"N83","1B",1,42.7125,-9.3184,125.5,31,"2",1
14,"N83","1B",1,42.7125,-9.3184,125.5,32,"1",3
14,"N83","1B",1,42.7125,-9.3184,125.5,32,"2",1
14,"N83","1B",1,42.7125,-9.3184,125.5,33,"1",1
14,"N83","1B",1,42.7125,-9.3184,125.5,33,"2",2
14,"N83","1B",1,42.7125,-9.3184,125.5,34,"1",2
14,"N83","1B",1,42.7125,-9.3184,125.5,35,"1",1
14,"N83","1B",1,42.7125,-9.3184,125.5,35,"2",1
14,"N83","1B",1,42.7125,-9.3184,125.5,36,"1",2
14,"N83","1B",1,42.7125,-9.3184,125.5,37,"2",2
14,"N83","1B",1,42.7125,-9.3184,125.5,38,"1",1
14,"N83","1B",1,42.7125,-9.3184,125.5,40,"1",1
14,"N83","1B",1,42.7125,-9.3184,125.5,41,"1",2
15,"N83","1B",1,42.8966,-9.37,175,24,"1",2
15,"N83","1B",1,42.8966,-9.37,175,26,"2",2
15,"N83","1B",1,42.8966,-9.37,175,27,"1",2
15,"N83","1B",1,42.8966,-9.37,175,27,"2",3
15,"N83","1B",1,42.8966,-9.37,175,28,"1",1
15,"N83","1B",1,42.8966,-9.37,175,28,"2",1
15,"N83","1B",1,42.8966,-9.37,175,29,"1",1
15,"N83","1B",1,42.8966,-9.37,175,29,"2",3
15,"N83","1B",1,42.8966,-9.37,175,30,"2",1
15,"N83","1B",1,42.8966,-9.37,175,31,"1",2
15,"N83","1B",1,42.8966,-9.37,175,32,"1",1
15,"N83","1B",1,42.8966,-9.37,175,33,"1",1
15,"N83","1B",1,42.8966,-9.37,175,33,"2",1
15,"N83","1B",1,42.8966,-9.37,175,34,"1",1
15,"N83","1B",1,42.8966,-9.37,175,35,"1",1
15,"N83","1B",1,42.8966,-9.37,175,36,"1",2
15,"N83","1B",1,42.8966,-9.37,175,37,"1",1
15,"N83","1B",1,42.8966,-9.37,175,38,"1",1
15,"N83","1B",1,42.8966,-9.37,175,39,"1",1
15,"N83","1B",1,42.8966,-9.37,175,39,"2",1
15,"N83","1B",1,42.8966,-9.37,175,40,"1",2
15,"N83","1B",1,42.8966,-9.37,175,41,"1",1
16,"N83","2B",1,43.0617,-9.4167,145,38,"1",1
17,"N83","2B",1,43.1117,-9.4567,168,28,"2",1
17,"N83","2B",1,43.1117,-9.4567,168,29,"1",2
17,"N83","2B",1,43.1117,-9.4567,168,30,"2",2
17,"N83","2B",1,43.1117,-9.4567,168,32,"1",1
17,"N83","2B",1,43.1117,-9.4567,168,33,"1",2
17,"N83","2B",1,43.1117,-9.4567,168,35,"1",1
17,"N83","2B",1,43.1117,-9.4567,168,37,"1",1
17,"N83","2B",1,43.1117,-9.4567,168,40,"1",1
17,"N83","2B",1,43.1117,-9.4567,168,42,"1",1
17,"N83","2B",1,43.1117,-9.4567,168,44,"1",1
18,"N83","2B",1,43.1167,-9.4033,150,25,"1",1
18,"N83","2B",1,43.1167,-9.4033,150,26,"1",2
18,"N83","2B",1,43.1167,-9.4033,150,27,"1",1
18,"N83","2B",1,43.1167,-9.4033,150,27,"2",1
18,"N83","2B",1,43.1167,-9.4033,150,28,"2",3
18,"N83","2B",1,43.1167,-9.4033,150,29,"1",1
18,"N83","2B",1,43.1167,-9.4033,150,29,"2",2
18,"N83","2B",1,43.1167,-9.4033,150,30,"1",1
18,"N83","2B",1,43.1167,-9.4033,150,31,"1",1
18,"N83","2B",1,43.1167,-9.4033,150,31,"2",1
18,"N83","2B",1,43.1167,-9.4033,150,34,"1",1
18,"N83","2B",1,43.1167,-9.4033,150,34,"2",2
18,"N83","2B",1,43.1167,-9.4033,150,37,"1",2
18,"N83","2B",1,43.1167,-9.4033,150,37,"2",2
18,"N83","2B",1,43.1167,-9.4033,150,38,"1",2
18,"N83","2B",1,43.1167,-9.4033,150,38,"2",1
18,"N83","2B",1,43.1167,-9.4033,150,40,"1",2
18,"N83","2B",1,43.1167,-9.4033,150,41,"1",1
18,"N83","2B",1,43.1167,-9.4033,150,46,"1",2
18,"N83","2B",1,43.1167,-9.4033,150,47,"1",1
20,"N83","2B",1,43.3525,-9.1958,151.5,26,"1",1
20,"N83","2B",1,43.3525,-9.1958,151.5,27,"1",2
20,"N83","2B",1,43.3525,-9.1958,151.5,27,"2",2
20,"N83","2B",1,43.3525,-9.1958,151.5,28,"2",1
20,"N83","2B",1,43.3525,-9.1958,151.5,31,"2",1
20,"N83","2B",1,43.3525,-9.1958,151.5,34,"1",1
20,"N83","2B",1,43.3525,-9.1958,151.5,35,"1",2
20,"N83","2B",1,43.3525,-9.1958,151.5,35,"2",1
