"x","y","pt","strat"
-11.4130434782609,53.9583333333333,1,"1A"
-11.2826086956522,53.9583333333333,2,"1A"
-11.1521739130435,53.9583333333333,3,"1A"
-11.5434782608696,53.875,4,"1A"
-11.4130434782609,53.875,5,"1A"
-11.2826086956522,53.875,6,"1A"
-11.6739130434783,53.7916666666667,7,"1A"
-11.5434782608696,53.7916666666667,8,"1A"
-11.4130434782609,53.7916666666667,9,"1A"
-11.2826086956522,53.7916666666667,10,"1A"
-11.9347826086957,53.7083333333333,11,"1A"
-11.6739130434783,53.7083333333333,12,"1A"
-11.5434782608696,53.7083333333333,13,"1A"
-11.4130434782609,53.7083333333333,14,"1A"
-11.2826086956522,53.7083333333333,15,"1A"
-11.9347826086957,53.625,16,"1A"
-11.804347826087,53.625,17,"1A"
-11.6739130434783,53.625,18,"1A"
-11.5434782608696,53.625,19,"1A"
-11.4130434782609,53.625,20,"1A"
-11.9347826086957,53.5416666666667,21,"1A"
-11.804347826087,53.5416666666667,22,"1A"
-11.6739130434783,53.5416666666667,23,"1A"
-11.5434782608696,53.5416666666667,24,"1A"
-12.0652173913043,53.375,25,"1A"
-12.0652173913043,53.2916666666667,26,"1A"
-12.195652173913,53.2083333333333,27,"1A"
-12.0652173913043,53.2083333333333,28,"1A"
-12.195652173913,53.125,29,"1A"
-12.0652173913043,53.125,30,"1A"
-12.195652173913,53.0416666666667,31,"1A"
-12.0652173913043,53.0416666666667,32,"1A"
-12.195652173913,52.9583333333333,33,"1A"
-12.0652173913043,52.9583333333333,34,"1A"
-12.195652173913,52.875,35,"1A"
-12.0652173913043,52.875,36,"1A"
-12.195652173913,52.7916666666667,37,"1A"
-12.0652173913043,52.7916666666667,38,"1A"
-12.0652173913043,52.7083333333333,39,"1A"
-12.0652173913043,52.625,40,"1A"
-12.0652173913043,52.5416666666667,41,"1A"
-13.1086956521739,53.7916666666667,42,"1A"
-13.6304347826087,53.7083333333333,43,"1A"
-13.5,53.7083333333333,44,"1A"
-13.3695652173913,53.7083333333333,45,"1A"
-13.7608695652174,53.625,46,"1A"
-13.6304347826087,53.625,47,"1A"
-14.0217391304348,53.5416666666667,48,"1A"
-13.8913043478261,53.5416666666667,49,"1A"
-14.1521739130435,53.4583333333333,50,"1A"
-14.0217391304348,53.4583333333333,51,"1A"
-12.8478260869565,53.4583333333333,52,"1A"
