"lan","lat","long","prof","peso.gr","numero","camp"
1,42.055,-8.9914,104,0,0,"N18"
2,41.9689,-9.0466,114.5,0,0,"N18"
3,42.0335,-9.1432,139,2224,5,"N18"
4,41.9859,-9.3094,173,0,0,"N18"
5,42.0436,-9.357,227,0,0,"N18"
6,42.1215,-9.275,187,0,0,"N18"
7,42.2258,-8.9732,102,1564,7,"N18"
8,42.1522,-9.0641,133.5,0,0,"N18"
9,42.1915,-9.1718,155,0,0,"N18"
10,42.2602,-9.0996,138,282,1,"N18"
12,42.2766,-9.4636,595,0,0,"N18"
13,42.291,-9.3528,245,0,0,"N18"
14,42.3713,-9.1691,145.5,0,0,"N18"
15,42.6125,-9.2187,101,0,0,"N18"
16,42.52,-9.293,133,0,0,"N18"
17,42.5194,-9.3821,222.5,0,0,"N18"
18,42.7025,-9.3658,133.5,0,0,"N18"
19,43.8718,-8.5207,281,0,0,"N18"
20,43.9475,-8.3687,246.5,0,0,"N18"
21,44.0498,-8.2551,294.5,0,0,"N18"
22,44.0331,-8.042,225.5,0,0,"N18"
23,44.0971,-8.9261,693,0,0,"N18"
24,44.0541,-8.7288,460,0,0,"N18"
25,44.0404,-8.5884,360,0,0,"N18"
26,44.0566,-8.4564,332,0,0,"N18"
27,43.5315,-8.5121,136.5,0,0,"N18"
28,43.4495,-8.5062,103.5,4985,9,"N18"
29,43.3915,-8.6436,104,5015,11,"N18"
30,43.364,-8.7654,90.5,3980,9,"N18"
31,42.8478,-9.4257,153.5,0,0,"N18"
32,42.7858,-9.5388,230.5,0,0,"N18"
33,42.697,-9.5724,656.5,0,0,"N18"
34,42.9304,-9.5555,235,0,0,"N18"
35,43.0465,-9.4177,145,0,0,"N18"
36,43.0819,-9.567,239.5,0,0,"N18"
37,43.2294,-9.5129,258,0,0,"N18"
38,43.2075,-9.4196,171.5,0,0,"N18"
39,43.8389,-7.9015,129,0,0,"N18"
40,43.9078,-8.1458,186,0,0,"N18"
41,43.8111,-8.2892,180,0,0,"N18"
42,43.8198,-8.3892,193,0,0,"N18"
43,43.7174,-8.3918,167,0,0,"N18"
44,43.9816,-8.6337,421,0,0,"N18"
45,43.8954,-8.6795,433,0,0,"N18"
46,43.7778,-8.8481,578.5,0,0,"N18"
47,43.7051,-8.7333,293.5,0,0,"N18"
48,43.3534,-9.388,271,0,0,"N18"
49,43.3023,-9.2853,167.5,0,0,"N18"
50,43.2476,-9.1205,94.5,846,2,"N18"
51,43.373,-9.0524,153.5,0,0,"N18"
52,43.6803,-8.8658,560.5,0,0,"N18"
53,43.6091,-8.9085,244,0,0,"N18"
54,43.5403,-9.0827,293.5,0,0,"N18"
55,43.4852,-8.9686,171.5,0,0,"N18"
56,43.6285,-8.5947,169,0,0,"N18"
57,43.5495,-8.7488,160,0,0,"N18"
58,43.4775,-8.6937,140.5,0,0,"N18"
59,43.4495,-8.8247,149.5,0,0,"N18"
60,43.6902,-8.5246,176,0,0,"N18"
61,43.6103,-8.5024,154.5,0,0,"N18"
62,43.7883,-7.5285,120.5,0,0,"N18"
63,43.8617,-7.3179,156,0,0,"N18"
64,43.6803,-7.1656,118.5,0,0,"N18"
65,43.6235,-7.0709,108,0,0,"N18"
66,43.9971,-7.5585,183.5,0,0,"N18"
67,44.0868,-7.5678,544.5,0,0,"N18"
68,44.0302,-7.3486,191,0,0,"N18"
69,43.9609,-7.212,174,0,0,"N18"
70,43.739,-6.9878,130,0,0,"N18"
71,43.785,-6.9035,138.5,0,0,"N18"
72,43.88,-7.1087,160.5,0,0,"N18"
73,43.9952,-6.9939,183,0,0,"N18"
74,43.597,-6.1037,58,1360,5,"N18"
75,43.6867,-6.0793,114,0,0,"N18"
76,43.7769,-6.087,222,0,0,"N18"
77,43.8412,-6.2086,400.5,0,0,"N18"
78,43.8802,-6.4686,594,0,0,"N18"
79,43.9001,-6.5352,248,0,0,"N18"
80,43.8914,-6.6138,143,0,0,"N18"
81,43.9408,-6.737,287.5,0,0,"N18"
82,43.7969,-6.604,132.5,0,0,"N18"
83,43.72,-6.4206,131,0,0,"N18"
84,43.7635,-6.3016,237.5,0,0,"N18"
85,43.6908,-6.2765,136.5,0,0,"N18"
86,43.888,-6.1071,512.5,0,0,"N18"
87,43.8585,-6.0282,188.5,0,0,"N18"
88,43.8452,-5.7719,181,0,0,"N18"
89,43.6646,-5.6562,94.5,836,1,"N18"
90,43.7116,-5.791,114.5,322.647362978283,1,"N18"
91,43.7612,-5.7473,144.5,544,1,"N18"
92,43.7879,-5.5702,163,0,0,"N18"
93,43.8918,-5.5912,303,0,0,"N18"
94,43.9331,-5.5461,577,0,0,"N18"
95,43.8719,-5.3693,304.5,0,0,"N18"
96,43.7623,-5.38,157,0,0,"N18"
97,43.6985,-5.526,142.5,0,0,"N18"
98,43.6337,-5.4021,119.5,0,0,"N18"
99,43.706,-5.1845,151.5,0,0,"N18"
100,43.8218,-5.0261,605,0,0,"N18"
101,43.7822,-5.0368,440.5,0,0,"N18"
102,43.7343,-5.0033,185.5,0,0,"N18"
